city,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Maramon,9.339441,76.6978518,2025-11-24 00:00:00,32.0,32.4,42.9,6.0,10.1,737.0,Satisfactory
Kharkhoda,28.8777329,76.9118034,2025-11-24 00:00:00,148.5,150.9,38.5,54.0,32.0,985.0,Very Poor
Sattenapalle,16.3925393,80.1489341,2025-11-24 00:00:00,23.2,24.2,13.8,55.0,8.3,318.0,Good
Nihal Singh Wala,30.5896671,75.2805144,2025-11-24 00:00:00,144.4,146.2,34.1,65.0,25.2,978.0,Very Poor
Pendra,22.7742782,81.9601789,2025-11-24 00:00:00,85.7,91.5,13.9,71.0,13.9,520.0,Moderate
Mudalagi,16.3367271,74.9682914,2025-11-24 00:00:00,13.0,13.6,12.4,55.0,2.7,362.0,Good
Koottanad,10.7609195,76.1209705,2025-11-24 00:00:00,22.4,22.6,13.8,69.0,7.9,420.0,Good
Sathupally,17.211431,80.8344943,2025-11-24 00:00:00,21.9,23.0,5.9,80.0,6.8,338.0,Good
Bargewadi,18.5721163,74.9805541,2025-11-24 00:00:00,24.9,25.3,13.3,70.0,8.0,473.0,Good
Puthukkad,10.4211864,76.2703426,2025-11-24 00:00:00,19.6,19.8,17.9,26.0,4.3,254.0,Good
Chikhaldara,21.4015758,77.3288834,2025-11-24 00:00:00,36.7,37.1,8.3,70.0,9.3,358.0,Satisfactory
Hingna,21.0751769,78.9683723,2025-11-24 00:00:00,79.9,80.8,19.7,88.0,50.4,879.0,Moderate
Jalalkheda,21.3849892,78.4191767,2025-11-24 00:00:00,60.5,61.0,15.5,75.0,17.9,447.0,Moderate
Mozari,21.0501564,78.0055517,2025-11-24 00:00:00,52.3,52.7,14.2,83.0,10.3,505.0,Satisfactory
Nanadgaon,21.0154871,77.8256734,2025-11-24 00:00:00,52.3,52.7,14.2,83.0,10.3,418.0,Satisfactory
Ambaji,24.3332794,72.8496191,2025-11-24 00:00:00,45.1,47.1,31.8,31.0,9.8,310.0,Satisfactory
Ghogha,21.6874043,72.2761717,2025-11-24 00:00:00,56.3,58.3,13.7,87.0,10.4,466.0,Satisfactory
Mount Abu,24.592433,72.7081876,2025-11-24 00:00:00,45.1,47.1,31.8,31.0,9.8,299.0,Satisfactory
Sandwa,27.7528195,74.1677811,2025-11-24 00:00:00,38.3,39.9,7.5,80.0,7.1,500.0,Satisfactory
Nimbi Jodhan,27.533083,74.3435173,2025-11-24 00:00:00,48.9,50.6,14.1,67.0,8.3,469.0,Satisfactory
Borgaon Manju,20.7182327,77.1512689,2025-11-24 00:00:00,34.2,34.5,12.5,79.0,9.5,430.0,Satisfactory
Shendurjana,21.5198553,78.291974,2025-11-24 00:00:00,50.3,51.1,16.4,65.0,9.8,346.0,Satisfactory
Kalmeshwar,21.2374393,78.9081689,2025-11-24 00:00:00,79.9,80.8,19.7,88.0,50.4,685.0,Moderate
Amalapuram,16.5777179,82.0032621,2025-11-24 00:00:00,27.4,32.2,2.4,116.0,4.4,360.0,Good
Talasari,20.1221519,72.9163946,2025-11-24 00:00:00,75.9,76.6,14.8,89.0,41.1,944.0,Moderate
Dadra,20.3228008,72.9652007,2025-11-24 00:00:00,81.7,82.7,22.2,78.0,50.7,1109.0,Moderate
